url,title,description,director,stars,year,runtime,genre,rating,imdb_score,metascore,gross
https://www.imdb.com/title/tt1899353/,The Raid: Redemption,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah",2011,101,"Action, Crime, Thriller",R,7.6,73,4110000
https://www.imdb.com/title/tt2265171/,The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",2014,150,"Action, Crime, Thriller",R,7.9,71,2630000
https://www.imdb.com/title/tt6116856/,The Night Comes for Us,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Hannah Al Rashid",2018,121,"Action, Crime, Thriller",TV-MA,6.9,69,
https://www.imdb.com/title/tt27411059/,Suzzanna: Malam Jumat Kliwon,"Suzzanna was bewitched on a Kliwon Friday night. She came back for revenge, in the form of Sundel Bolong.",Guntur Soeharjanto,"Luna Maya, Achmad Megantara, Tio Pakusadewo, Sally Marcellina",2023,132,Horror,TV-MA,6.2,,
https://www.imdb.com/title/tt16915972/,Satan's Slaves 2: Communion,"When the heavy storm hits, it wasn't the storm that a family should fear but the people and non-human entities who are out for them.",Joko Anwar,"Tara Basro, Endy Arfian, Nasar Annuz, Bront Palarae",2022,119,"Drama, Horror, Mystery",13+,6.8,,
https://www.imdb.com/title/tt20873498/,Motel Melati,"Seeking shelter in a forgotten part of town, travelers get trapped inside a cursed motel - while its host forces them to face its darkest terrors.","Mike Wiluan, Billy Christian","Alexandra Gottardo, Kiki Narendra, Samuel Panjaitan, Fandy Christian",2023,92,"Horror, Mystery, Thriller",17+,6.2,,
https://www.imdb.com/title/tt7076834/,Satan's Slaves,"After dying from a strange illness that she suffered for 3 years, a mother returns home to pick up her children.",Joko Anwar,"Tara Basro, Bront Palarae, Dimas Aditya, Endy Arfian",2017,107,"Drama, Horror, Mystery",Not Rated,6.5,,
https://www.imdb.com/title/tt9000302/,Impetigore,A toll booth operator travels to her ancestral village in hopes of claiming an inheritance - until she discovers the unsettling truth about her past.,Joko Anwar,"Tara Basro, Ario Bayu, Marissa Anita, Christine Hakim",2019,106,"Horror, Mystery, Thriller",Not Rated,6.6,,
https://www.imdb.com/title/tt11448138/,Ivanna,"Ambar and his family were terrorized when they celebrated Lebaran in the Bandung area. Ambar, a beautiful young woman who has limited vision, is able to see things that other people can't see.",Kimo Stamboel,"Caitlin Halderman, Jovarel Callum, Junior Roberts, Shandy William",2022,103,"Horror, Mystery, Thriller",R,5.7,,
https://www.imdb.com/title/tt24546804/,Ketika Berhenti di Sini,"Dita, a graphic designer torn between the holographic presence of her deceased love Ed and her current relationship with Ifan, must choose between the past and the present.",Umay Shahab,"Prilly Latuconsina, Bryan Domani, Refal Hady, Lutesha",2023,102,"Drama, Romance",13+,7.7,,
https://www.imdb.com/title/tt15528292/,The Big 4,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,Timo Tjahjanto,"Abimana Aryasatya, Putri Marino, Lutesha, Arie Kriting",2022,141,"Action, Comedy, Crime",TV-MA,6.1,,
https://www.imdb.com/title/tt21968956/,Today We'll Talk About That Day,"The lives of Narendra and Ajeng intersect for the first time as past and present come together in this prequel to ""One Day We'll Talk About Today.""",Angga Dwimas Sasongko,"Jourdy Pranata, Yunita Siregar, Rio Dewanto, Agla Artalidia",2023,117,"Drama, Romance",TV-14,5.9,,
https://www.imdb.com/title/tt5147214/,Headshot,"Uwais plays a young man who washes ashore, an amnesiac with a serious head injury whose past comes back to haunt him shortly after being nursed back to health by a young doctor. Violence ensues. Sweet, sweet violence.","Kimo Stamboel, Timo Tjahjanto","Iko Uwais, Chelsea Islan, Sunny Pang, Very Tri Yulisman",2016,118,"Action, Drama, Thriller",Not Rated,6.3,61,
https://www.imdb.com/title/tt1590941/,18+: True Love Never Dies,,Nayato Fio Nuala,"Arumy Bachsin, Rangga Djoned, Adipati Dolken, Wulan Guritno",2010,90,Drama,TV-MA,5.2,,
https://www.imdb.com/title/tt21619276/,Hati Suhita,Alina Suhita's unwavering determination is tested as she navigates the storms of her tumultuous marriage in pursuit of love.,Archie Hekagery,"Omar Daniel, Nadya Arina, Anggika Bolsterli, Ibrahim Risyad",2023,137,Drama,13+,8.7,,
https://www.imdb.com/title/tt25872924/,Waktu Maghrib,In a village there is a girl who says goodbye to the mosque to pray maghrib to her father.,Sidharta Tata,"Nafiza Fatia Rani, Ali Fikry, Bima Sena, Aulia Sarah",2023,104,"Horror, Mystery, Thriller",17+,6.0,,
https://www.imdb.com/title/tt20873488/,Hidayah,"Bahri, a young man who lives in Mekarsari Village. One day, Bahri realized that something was wrong in Mekarsari Village. Out of curiosity, he also found out what was really going on in the village where he lived.","Dedy Kopola, Monty Tiwa","Ajil Ditto, Givina Lukita, Alif Joerg, Unique Priscilla",2023,92,Horror,13+,6.8,,
https://www.imdb.com/title/tt8765496/,May the Devil Take You,"When her estranged father falls into a mysterious coma, a young woman seeks answers at his old villa, where she and her stepsister uncover dark truths.",Timo Tjahjanto,"Chelsea Islan, Pevita Pearce, Ray Sahetapy, Karina Suwandhi",2018,110,"Horror, Mystery, Thriller",TV-MA,5.9,,
