url,title,imdb_score,description,director,stars,year,runtime,genre,rating,metascore,gross
https://www.imdb.com/title/tt1899353/,The Raid: Redemption,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah",2011,101,"Action, Crime, Thriller",R,73,4110000
https://www.imdb.com/title/tt2265171/,The Raid 2,7.9,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",2014,150,"Action, Crime, Thriller",R,71,2630000
https://www.imdb.com/title/tt6116856/,The Night Comes for Us,6.9,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Hannah Al Rashid",2018,121,"Action, Crime, Thriller",TV-MA,69,
https://www.imdb.com/title/tt20873488/,Hidayah,6.8,"Bahri, a young man who lives in Mekarsari Village. One day, Bahri realized that something was wrong in Mekarsari Village. Out of curiosity, he also found out what was really going on in the village where he lived.",Dedy Kopola,"Monty Tiwa, Ajil Ditto, Givina Lukita, Alif Joerg, Unique Priscilla",2023,92,Horror,13+,,
https://www.imdb.com/title/tt27411059/,Suzzanna: Malam Jumat Kliwon,6.1,"Suzzanna was bewitched on a Kliwon Friday night. She came back for revenge, in the form of Sundel Bolong.",Guntur Soeharjanto,"Luna Maya, Achmad Megantara, Tio Pakusadewo, Sally Marcellina",2023,132,Horror,TV-MA,,
https://www.imdb.com/title/tt7076834/,Satan's Slaves,6.5,"After dying from a strange illness that she suffered for 3 years, a mother returns home to pick up her children.",Joko Anwar,"Tara Basro, Bront Palarae, Dimas Aditya, Endy Arfian",2017,107,"Drama, Horror, Mystery",Not Rated,,
https://www.imdb.com/title/tt21968956/,Today We'll Talk About That Day,6.0,"The lives of Narendra and Ajeng intersect for the first time as past and present come together in this prequel to ""One Day We'll Talk About Today.""",Angga Dwimas Sasongko,"Jourdy Pranata, Yunita Siregar, Rio Dewanto, Agla Artalidia",2023,117,"Drama, Romance",TV-14,,
https://www.imdb.com/title/tt16915972/,Satan's Slaves 2: Communion,6.8,"When the heavy storm hits, it wasn't the storm that a family should fear but the people and non-human entities who are out for them.",Joko Anwar,"Tara Basro, Endy Arfian, Nasar Annuz, Bront Palarae",2022,119,"Drama, Horror, Mystery",13+,,
https://www.imdb.com/title/tt9000302/,Impetigore,6.6,A toll booth operator travels to her ancestral village in hopes of claiming an inheritance - until she discovers the unsettling truth about her past.,Joko Anwar,"Tara Basro, Ario Bayu, Marissa Anita, Christine Hakim",2019,106,"Horror, Mystery, Thriller",Not Rated,,
https://www.imdb.com/title/tt15528292/,The Big 4,6.1,Tells the story of an elite assassin that is targeted by murderous gangsters after sparing a girl's life during a massacre.,Timo Tjahjanto,"Abimana Aryasatya, Putri Marino, Lutesha, Arie Kriting",2022,141,"Action, Comedy, Crime",TV-MA,,
